audioLanguageSlug,coreLanguageId,poolKey,themeUnique,sharedWithStart,additionalBeyondStart,unionWithStart
albanian-kosovar,20528,hope-and-perseverance,19,18,1,49
albanian-kosovar,20528,love-and-belonging,20,19,1,49
albanian-kosovar,20528,forgiveness-and-new-beginnings,14,14,0,48
albanian-kosovar,20528,exploring-jesus,27,27,0,48
ale-gawwada,98459,meaning-and-purpose,18,18,0,35
ale-gawwada,98459,hope-and-perseverance,16,16,0,35
ale-gawwada,98459,love-and-belonging,12,12,0,35
ale-gawwada,98459,forgiveness-and-new-beginnings,7,7,0,35
ale-gawwada,98459,exploring-jesus,21,21,0,35
alis-i-ron,134882,meaning-and-purpose,18,18,0,35
alis-i-ron,134882,hope-and-perseverance,16,16,0,35
alis-i-ron,134882,love-and-belonging,12,12,0,35
alis-i-ron,134882,forgiveness-and-new-beginnings,7,7,0,35
alis-i-ron,134882,exploring-jesus,21,21,0,35
altai,21554,meaning-and-purpose,18,18,0,35
altai,21554,hope-and-perseverance,16,16,0,35
altai,21554,love-and-belonging,12,12,0,35
altai,21554,forgiveness-and-new-beginnings,7,7,0,35
altai,21554,exploring-jesus,21,21,0,35
alur,14694,meaning-and-purpose,18,18,0,35
alur,14694,hope-and-perseverance,16,16,0,35
alur,14694,love-and-belonging,12,12,0,35
alur,14694,forgiveness-and-new-beginnings,7,7,0,35
alur,14694,exploring-jesus,21,21,0,35
ama,20118,meaning-and-purpose,18,18,0,35
ama,20118,hope-and-perseverance,16,16,0,35
ama,20118,love-and-belonging,12,12,0,35
ama,20118,forgiveness-and-new-beginnings,7,7,0,35
ama,20118,exploring-jesus,21,21,0,35
amam,184583,meaning-and-purpose,18,18,0,35
amam,184583,hope-and-perseverance,16,16,0,35
amam,184583,love-and-belonging,12,12,0,35
amam,184583,forgiveness-and-new-beginnings,7,7,0,35
amam,184583,exploring-jesus,21,21,0,35
amanab,10685,meaning-and-purpose,18,18,0,35
amanab,10685,hope-and-perseverance,16,16,0,35
amanab,10685,love-and-belonging,12,12,0,35
amanab,10685,forgiveness-and-new-beginnings,7,7,0,35
amanab,10685,exploring-jesus,21,21,0,35
ambae-east,144776,meaning-and-purpose,18,18,0,35
ambae-east,144776,hope-and-perseverance,16,16,0,35
ambae-east,144776,love-and-belonging,12,12,0,35
ambae-east,144776,forgiveness-and-new-beginnings,7,7,0,35
ambae-east,144776,exploring-jesus,21,21,0,35
ambai,139414,meaning-and-purpose,18,18,0,35
ambai,139414,hope-and-perseverance,16,16,0,35
ambai,139414,love-and-belonging,12,12,0,35
ambai,139414,forgiveness-and-new-beginnings,7,7,0,35
ambai,139414,exploring-jesus,21,21,0,35
ambrym-southeast,141931,meaning-and-purpose,18,18,0,35
ambrym-southeast,141931,hope-and-perseverance,16,16,0,35
ambrym-southeast,141931,love-and-belonging,12,12,0,35
ambrym-southeast,141931,forgiveness-and-new-beginnings,7,7,0,35
ambrym-southeast,141931,exploring-jesus,21,21,0,35
amdo-tibetan,23089,meaning-and-purpose,18,18,0,35
