coreVideoId,coreLabel,primaryTitle,publishedLanguageIds,hlsLanguageIds,variantCount,publishedHlsVariantCount,durationMinSeconds,durationMedianSeconds,durationMaxSeconds
11_SpiritualBeings0801,episode,1. God,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083,17,17,481,493,572
11_SpiritualBeings0802,episode,2. Intro to Spiritual Beings,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,291,318,411
11_SpiritualBeings0803,episode,3. Elohim,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,164,172,412
11_SpiritualBeings0804,episode,4. Divine Council,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,363,374,473
11_SpiritualBeings0805,episode,5. Angels and Cherubim,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,261,280,361
11_SpiritualBeings0806,episode,6. Angel of the Lord,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,235,244,301
11_SpiritualBeings0807,episode,7. The Satan and Demons,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,353,364,458
11_SpiritualBeings0808,episode,8. The New Humanity,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,18,18,303,317,392
12_Washi,series,Washi Gospel,529 7083,,2,0,,,
12_Washi0105,episode,Can God be Known?,529 7083,529 7083,2,2,192,192,192
12_Washi0205,episode,What are Humans?,529 7083,529 7083,2,2,186,186,186
12_Washi0305,episode,What is sin?,529 7083,529 7083,2,2,146,146,146
12_Washi0405,episode,What is the Cross of Jesus?,529 7083,529 7083,2,2,269,269,269
12_Washi0505,episode,What is salvation?,529 7083,529 7083,2,2,172,172,172
