languageId,coreLanguageId,audioLanguageSlug,canonicalEnglishName,canonicalNameLocales,legacyEnglishNameMirror,bcp47,iso3,source,deletedAt,syncedAt,rawDubRows,rawVideos,rawLeafVideos,rawCollectionVideos,rawSeriesVideos,rawVideosWithDeclaredSource,publishedVideosWithDeclaredSource,publishedLeafDeclaredSources,publishedLeafHls,publishedLeafMux,publishedLeafHlsOnly,publishedCollectionDeclaredSources,publishedSeriesDeclaredSources,watchUnrestrictedPublishedLeafDeclared,curatedDeclaredLeafReferences,approvedCuratedDeclaredLeafReferences,curatedEditorialChoicesWithDeclaredLeafSource,approvedEditorialChoicesWithDeclaredLeafSource,uncuratedDeclaredLeafVideos,manifest_pass,manifest_failed,currentWebDisplayLocale,priorCurrentRecommendationStartUnique,priorCurrentRecommendationEligibleIdCeiling,rawLeafInventoryMeaning
cmok1lgvk00kaqsv11i0i7d20,1280,aja-gbe,Aja-Gbe,ajg|en,Aja-Gbe,ajg,ajg,core,,2026-09-03T07:00:06.934937+00:00,132,132,116,15,1,116,116,116,116,116,0,0,0,116,67,63,57,54,49,0,0,en,53,116,declared metadata; canonical identity and stream health not guaranteed
cmok1nylf0165qsv1xojoz2tc,141189,ajiya,Ajiya,en,Ajiya,idc,idc,core,,2026-09-03T07:00:06.934937+00:00,75,75,62,13,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1nyyz0168qsv1h0ntu4tk,141199,akebu,Akebu,en,Akebu,keu,keu,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl21d604voqsccb49nzcc5,96819,akeu,Akeu,aeu|en,Akeu,aeu,aeu,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkvx9e03d3qsccwya30vho,3712,akha,Akha,ahk|en,Akha,ahk,ahk,core,,2026-09-03T07:00:06.934937+00:00,92,92,76,15,1,76,76,76,76,76,0,0,0,76,48,46,36,35,28,0,0,en,34,76,declared metadata; canonical identity and stream health not guaranteed
cmok1ljvt00kyqsv124w3gh9v,12853,aklanon,Aklanon,akl|en,Aklanon,akl,akl,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkvlxo03a6qscciwbwwl1x,2894,akoose,Akoose,bss|en,Akoose,bss,bss,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,en,33,64,declared metadata; canonical identity and stream health not guaranteed
cmokkxwv103v4qsccmcz2gwff,5296,akposo,Akposo,en,Akposo,kpo,kpo,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1mx6000x9qsv1g49c7n2u,139598,akuku,Akuku,en,Akuku,ayk,ayk,core,,2026-09-03T07:00:06.934937+00:00,75,75,62,13,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkx93w03p5qsccbk521g1b,4793,alaba,Alaba,alw|en,Alaba,alw,alw,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1p7ec01g7qsv1wsl18lzi,142694,alagwa,Alagwa,en,Alagwa,wbj,wbj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1msls00w6qsv18m86nhbn,139397,alangan,Alangan,en,Alangan,alj,alj,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkryw102dvqsccu5enu6p0,20526,albanian,Albanian,en|sq,Albanian,sq,als,core,,2026-09-03T07:00:06.934937+00:00,198,198,173,22,3,173,173,173,173,173,0,0,0,173,96,90,74,70,77,0,0,sq,0,0,declared metadata; canonical identity and stream health not guaranteed
cmokkrzdn02e0qscci4ksc2av,20528,albanian-kosovar,"Albanian, Kosovar",en|sq-aln,"Albanian, Kosovar",sq-aln,aln,core,,2026-09-03T07:00:06.934937+00:00,107,107,87,20,0,87,87,87,87,87,0,0,0,87,49,47,49,47,38,0,0,sq,0,0,declared metadata; canonical identity and stream health not guaranteed
cmokl2ekp04ytqsccsvd0zi7l,98459,ale-gawwada,"Ale, Gawwada",en,"Ale, Gawwada",gwd,gwd,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1m0vi00pcqsv1lr30dlm6,134882,alis-i-ron,Alis I Ron,en,Alis I Ron,cla,cla,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkt58502opqscc771rbjd3,21554,altai,Altai,alt|en,Altai,alt,alt,core,,2026-09-03T07:00:06.934937+00:00,80,80,65,15,0,65,65,65,65,65,0,0,0,65,35,34,35,34,30,0,0,en,33,65,declared metadata; canonical identity and stream health not guaranteed
cmok1qyd601vdqsv1h57e8a9v,14694,alur,Alur,alz|en,Alur,alz,alz,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
4aba232f-029c-406d-8f92-48280be67a10,20118,ama,Ama,en,Ama,nyi,nyi,core,,2026-09-03T07:00:06.934937+00:00,75,75,62,13,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkpncb01tuqscc0zmtdhuq,184583,amam,Amam,en,Amam,bcu,wer,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
cmok1k3mm0086qsv1prxjoivq,10685,amanab,Amanab,en,Amanab,amn,amn,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1qpz101tbqsv12ygretkr,144776,ambae-east,"Ambae, East",en,"Ambae, East",omb,omb,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
cmok1mtat00wcqsv1dq6p156n,139414,ambai,Ambai,en,Ambai,amk,amk,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1onnc01bmqsv1wgzymdja,141931,ambrym-southeast,"Ambrym, Southeast",en,"Ambrym, Southeast",tvk,tvk,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
cmokktv4d02v2qsccqn572zcx,23089,amdo-tibetan,"Amdo, Tibetan",adx|en,"Amdo, Tibetan",adx,adx,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,en,33,64,declared metadata; canonical identity and stream health not guaranteed
cmokkqxs4024rqscctrwq4nbw,19171,american-sign-language,American Sign Language,en,American Sign Language,ase,ase,core,,2026-09-03T07:00:06.934937+00:00,9,9,2,7,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,en,2,2,declared metadata; canonical identity and stream health not guaranteed
cmokkx87z03oxqscclkqnwnsa,4791,amharic,Amharic,am|en,Amharic,am,amh,core,,2026-09-03T07:00:06.934937+00:00,209,209,178,27,4,178,178,178,178,178,0,0,0,178,108,101,86,81,70,0,0,am,0,0,declared metadata; canonical identity and stream health not guaranteed
cmokl1h7v04qmqsccwovpe5m5,8351,amuzgo-guerrero,"Amuzgo, Guerrero",amu|en,"Amuzgo, Guerrero",amu,amu,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl1ggl04qgqsccv5p98zsj,8338,amuzgo-oaxaca,"Amuzgo, Oaxaca",azg|en,"Amuzgo, Oaxaca",azg,azg,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl1u2204txqsccn3s7ho9b,9317,anaang,Anaang,en,Anaang,anw,anw,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1nb0k010iqsv1s70v61h3,140196,andaandi,Andaandi,en,Andaandi,dgl,dgl,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1n9x50109qsv1o8palejw,140162,andio,Andio,en,Andio,bzb,bzb,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1mqtd00vrqsv1c25834s2,139319,angaataha,Angaataha,agm|en,Angaataha,agm,agm,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
cmok1ms9v00w3qsv103g7cqdj,139376,angal-heneng,Angal Heneng,en,Angal Heneng,akh,akh,core,,2026-09-03T07:00:06.934937+00:00,79,79,63,16,0,63,63,63,63,63,0,0,0,63,35,34,35,34,28,0,0,en,33,63,declared metadata; canonical identity and stream health not guaranteed
