id,slug,bcp47
14188,ikizu,ikz
141912,semelai,sza
14192,hehe,heh
141927,tugen,tuy
141928,turka,tuz
141931,ambrym-southeast,tvk
141934,taveta,tvs
141995,zhuang-yongnan,zyn
141998,zhuang-zuojiang,zzj
14201,haya,hay
142010,takia,tbc
142016,tagbanwa-calamian,tbk
14206,gogo,gog
142078,tawala,tbo
142121,uduk,udu
142134,sanga,xsn
142141,ketengban,xte
142146,mixtec-magdalena-penasco,xtm
142172,tanjijili,uji
142179,ukue,uku
142180,ndokwa-ukwuani,ukw
142183,olukwumi,ulb
142202,uneme-north,une
142214,kurumba-jennu,xuj
14226,sukuma,suk
142264,aokha,ema
142266,uripiv-wala-rano-atchin,upv
142286,usarufa,usa
142293,etulo,utr
142303,waghiri,vaa
142312,jaminawa,yaa
142332,subanen-eastern,sfe
142333,miao-small-flowery,sfm
142339,surgujia,sgj
142348,gbe-tofin,tfi
142353,tigak,tgc
14236,safwa,sbk
142360,tangoa,tgp
142372,vale,vae
142378,vaiphei,vap
142380,vanuma,vau
142394,vidunda,vid
142395,mayangna,yan
142418,sheko,she
14248,nyaturu,rim
142483,makhuwa,vmw
142491,ravula,yea
142505,gepo,ygp
142536,siar-lak,sjr
14254,matumbi,mgw
14255,matengo,mgv
142589,wondama,wad
14259,mambwe-lungu,mgr
14260,malila,mgq
142610,nisu-northern,yiv
142631,sika,ski
142642,seko-padang,skx
142646,sissala,sld
142647,sikkiligar,sle
142653,tharu-kathariya,tkt
142694,alagwa,wbj
14271,ndendeule,dne
14273,kwere,cwe
14274,kabwa,cwa
142753,selaru,slu
14277,bena,bez
142777,toba-maskoy,tmf
14278,bemba,bem
1428,quechua-north-bolivian,qul
142827,gbe-weme,wem
142830,weri-2,wer
142858,yareba,yrb
142869,sani-3,ysn
142878,noon,snf
142887,isangu,snq
142900,totonac-coyutla,toc
142905,tonga,toi
142907,totonac-papantla,top
142947,wolane,wle
14295,karen-pwo-eastern,kjp
142964,wambon,wms
142979,yukpa,yup
142985,yuracare,yuz
142986,yawa,yva
143000,temi,soz
143039,trinitario,trn
143058,we-northern,wob
143124,surui,sru
143147,waropen,wrp
143157,waskia,wsk
143169,wumvu,wum
143175,zaramo,zaj
143190,batui,zbt
143207,waata,ssn
143265,zhuang-nong,zhn
143268,zia,zia
143295,owa,stn
143300,silte,stv
143302,suena,sue
143311,tat-azeri,ttt
143321,tuyuca,tue
143322,tunia,tug
143339,malayic-dayak,xdy
143340,hdi,xed
143356,mbandja,zmz
143368,zapoteco-de-san-juan-comaltepec,zpc
143382,eshira-2,swj
143387,suau,swp
143400,majhi,mjz
143419,san-chi,mlc
143435,roviana,rug
143453,ndut,ndv
143459,orang-seletar,ors
143460,oriya-adivasi,ort
143465,ososo,oso
143469,ot-danum,otd
143475,otoro,otr
143488,manambu,mle
143494,kiwilwana,mlk
143497,malango-teha,mln
143501,toabaita,mlu
143542,lutos,ndy
143568,oyda,oyd
143573,pagabete,pae
14358,karen-pwo-omkoi,pww
143600,padoe,pdo
143610,saafi-saafi,sav
143624,agabag,sbr
143643,ngungwel,ngz
143668,pangwali,pgg
143690,sanggau,scg
143707,nahuatl-zacatlan-ahuacatlan-tepetzintla,nhi
143712,nahuatl-isthmus-pajapan,nhp
143731,lamatuka,lmq
143732,lamalera,lmr
143747,lango-south-sudan,lno
143751,lobi,lob
143753,yine,pib
143762,piapoco,pio
143768,pimbwe,piw
143789,meitei,mni
143810,naga-liangmai,njn
143827,lepki,lpe
143834,laro,lro
14384,khmer-northern,km-kxm
143846,palikur,plu
143851,paama,pma
14386,malay-pattani,ms-mfa
143861,sougb,mnx
143863,mwan,moa
143877,shekkacho,moy
143881,majang,mpe
143890,naga-khezha,nkh
143904,gela,nlg
143962,pinyin,pny
144002,kwasio,nmg
144017,nama,nmx
144034,levuka,lvu
144036,lewo-eleng,lwe
144042,lewo,lww
144064,folopa,ppo
144083,cheke-holo,mrn
144101,nyangatom,nnj
144116,nomane,nof
144134,persian-sign-language,psc
144156,mualang,mtd
144182,ewage-notu,nou
144210,manobo-western-bukidnon,mbb
144211,manobo-dibabawon,mbd
144214,manobo-ilianen,mbi
144228,mixtec-amoltepec,mbz
144251,puinave,pui
144252,punan-tubu,puj
144286,naga-sumi,nsm
144295,maquiritari,mch
144299,ese,mcq
144313,kroumen-pye,pye
144330,quechua-southern-pastaza,qup
144351,are,mwc
144370,tepehuan-northern,ntp
144390,quichua-tena-lowland,quw
144393,quechua-ambo-pasco,qva
144395,quichua-imbabura-highland,qvi
1444,afrikaans,af
144408,quechua-panao-huanuco,qxh
144409,quichua-salasaca-highland,qxl
144413,quichua-canar-highland,qxr
144425,mele-fila,mxe
144427,miju-mishmi,mxj
144455,namiae,nvm
144460,meyah,mej
144461,mekeo,mek
144465,mato,met
144471,bangka,mfb
144472,mba,mfc
144476,mandara-cameroon,mfi
144481,rade,rad
144489,rao,rao
144517,meen,mym
144528,ngada,nxg
144539,olunyole,nyd
144584,wichi-lhamtes-guisnay,mzh
144593,deg,mzw
144623,abureni,mgj
144630,mailu,mgu
144632,mbugwe,mgz
144693,okpe,oke
144701,oku,oku
144702,orokaiva,okv
144705,mochi,old
144716,digaro-mishmi,mhu
144740,luwu-tae,rob
144763,notsi,ncf
144765,nahuatl-northern-puebla,ncj
144766,nahuatl-michoacan,ncl
144776,ambae-east,omb
144792,ono,ons
144834,saluan,loe
144869,miao-eastern-qiandong,hmq
144882,sylheti,syl
144886,wa-vo,wbm
14509,tongan,to
1454,herero,hz
145459,aralle,atq
145530,icheve,bec
145621,ayizo-tori,ayb
145699,bali,ban
145845,bhojpuri-nepal,bho
145881,barka,bib
14629,kumyk,kum
14632,kabardian,kbd
146378,batak-alas,btz
146379,batak-kluet,btz
146749,basang,bzy
146764,lower-daga,dgz
14677,kumam,kdi
14692,gwere,gwr
14694,alur,alz
147081,blowo,dnj
