language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Finnish,finnish,fi,0,0,Missing published card translation,4820,158,158,28,130,130,130,130,2,26,True,2026-09-10T03:33:19.754495+00:00,1,bb82e01d21b4d2220f7bb87a55bfba98b91f461965318635f81386201813ff0b
"French, African",french-african,fr,28,35,Six cards available; reserve below 30,53424,53,53,18,35,35,35,35,0,18,True,2026-09-10T03:34:55.797980+00:00,1,795fd681bf12d6cad1b0d2fe7fee4a75d245d5c7d163231bb0e1aabf9ea490bc
Ga,ga,ga,0,0,Missing published card translation,27152,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:20.236947+00:00,1,73072c4f562711d7786a9655854c5ebf4064402615f1fd3ea26fc1f01c7ff345
"Gaelic, Irish",gaelic-irish,ga,0,0,Missing published card translation,6884,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:33:20.581052+00:00,1,712cbf0b602ea5ee5c42f973b2d9ede8868df6f44243cbe9cb9c09f05dc62996
"Gaelic, Scots",gaelic-scots,gd,0,0,Missing published card translation,14818,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:21.131641+00:00,1,04a3bd3e2de8339d71fdde82a840ae91b1d84a86b63cb2596546a0e31089af12
Galician,galician,gl,0,0,Missing published card translation,19705,120,120,22,98,98,98,98,2,20,True,2026-09-10T03:33:21.207749+00:00,1,b0a61c05b5e88d1a923a2fd7d680703bd9081a39c09ed60391be755678a6bfa4
Georgian,georgian,ka,0,0,Missing published card translation,5112,203,203,28,175,175,175,175,2,26,True,2026-09-10T03:33:22.386252+00:00,1,4537ba93e2c294fd2574572c6e933d3a6d20a2e54a5ed5b7f0b605a486d438a1
Greek,greek,el,0,0,Missing published card translation,483,198,198,29,169,169,169,169,2,27,True,2026-09-10T03:33:22.636975+00:00,1,db20da75110e1edcb64948bf43a04a6ef7ac694c76a2c03fe6f68eafcee2c59d
Gujarati,gujarati,gu,0,0,Missing published card translation,6600,329,329,32,297,297,297,297,0,32,True,2026-09-10T03:33:23.238046+00:00,1,5bee9b2a9544cf7ec2520472772407ba9bbdddbb172fff9bb28384762a590299
Haitian Creole,haitian-creole,ht,0,0,Missing published card translation,4473,156,156,22,134,134,134,134,0,22,True,2026-09-10T03:33:22.820400+00:00,1,187663c17d12cda2bf184f4540289ed9b320289dd21ef1aae841e55d73871bba
