audioLanguageSlug,coreLanguageId,sourcePublishedLeafVideos,sourcePublishedHlsLeafVideos,sourcePublishedHlsVideosAllLabels,curatedStartUnique,curatedUnionUnique,curatedStartWorkFamilies,curatedStartStoryGroups,curatedStartMedianDubAtMost15m,curatedStartFeatureFilms,startMeets6,startMeets30,unionMeets30,adminValidatedUnique,identityStatus,pool_meaning-and-purpose,pool_hope-and-perseverance,pool_love-and-belonging,pool_forgiveness-and-new-beginnings,pool_exploring-jesus
balantak,97403,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bali,145699,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bali-madya,19617,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balkar,18518,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balochi-eastern,5700,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balochi-southern,6679,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balochi-western,353,61,61,61,34,34,1,34,33,1,True,True,True,0,core_only,17,16,12,7,20
balti,6654,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bambam,20163,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bambara,2075,157,157,159,73,75,14,71,66,3,True,True,True,0,core_only,24,30,30,19,45
bamu,97185,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bamun,2912,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bana,139663,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
banda-linda,53434,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
bandi,7655,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
bandial,139909,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
banggai,17365,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bangi,4360,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bangjinge,28054,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bangka,144471,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bangla-2,176243,327,327,329,121,123,27,117,117,4,True,True,True,0,core_only,47,51,51,29,61
bangla-muslim,139082,228,228,230,87,89,24,84,83,4,True,True,True,0,core_only,28,35,31,21,58
banjar,16827,65,65,65,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bankagooma,139862,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bantoanon,12801,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bara,7735,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bara-tharu,184903,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
barai,10726,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bareli-pawri,184486,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bareli-rathwi,25919,121,121,121,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
bari,13586,124,124,126,47,48,11,47,46,1,True,True,True,0,core_only,19,19,20,13,26
bariai,10715,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bariba,1294,121,121,121,60,61,3,59,54,2,True,True,True,0,core_only,23,27,22,13,39
barka,145881,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
basa,24010,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
basaa,2923,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
basang,146749,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bashkir,18450,145,145,145,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
basketto,4779,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
basque,23514,76,76,76,36,36,2,35,34,2,True,True,True,0,core_only,18,16,12,7,22
bassa,19508,69,69,69,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
